SENTENCE_ID	SENTENCE_TEXT	NORMALIZED_TEXT
17	10 devezh goude kement-mañ setu pastor ar misionerien o tont etrezek rambo da c'houlenn ma tegasfe ur strollad soudarded-gopr a-benn gwiriañ na petra a zo bet erruet d'ar strollad misionerien chomet hep reiñ keloù aboe ma z'int kroget gant o gefridi.	10 devezh goude kement-mañ setu pastor ar misionerien o tont etrezek rambo da c'houlenn ma tegasfe ur strollad soudarded-gopr a-benn gwiriañ na betra a zo bet erruet d'ar strollad misionerien chomet hep reiñ keloù aboe ma z'int kroget gant o gefridi.
109	1957-1962 : penn-kentañ ar beatles paul a krog da c'hoari trompet, ha piano war-lec'h, evel e zad, evir, benn ar fin, deskiñ guitar da 14 vloaz.	1957-1962 : penn-kentañ ar beatles paul a grog da c'hoari trompet, ha piano war-lec'h, evel e zad, evir, benn ar fin, deskiñ guitar da 14 vloaz.
126	1981 : kentañ e trede tennad ar whitbread, brudetañ redadeg bagoù-dre-lien, war mor bihan a oa ur vag bet ijinet ha savet gant tri den yaouank goude mizvezhioù labour.	1981 : kentañ e trede tennad ar whitbread, brudetañ redadeg bagoù-dre-lien, war vor bihan a oa ur vag bet ijinet ha savet gant tri den yaouank goude mizvezhioù labour.
154	2000 betek hiziv un endro burev unix modern (solaris 10) e 2000 e werzhas sco e obererezh unix hag e gaoudoù a-bezh da caldera systems, hag a gemmas diwezhatoc'h e anv da the sco group.	2000 betek hiziv un endro burev unix modern (solaris 10) e 2000 e werzhas sco e obererezh unix hag e gaoudoù a-bezh da caldera systems, hag a gemmas diwezhatoc'h e anv da dhe sco group.
183	20 vloaz e c'hellont bevañ en ur gwarezva.	20 vloaz e c'hellont bevañ en ur warezva.
272	2. ar skarzhoù ur skarzh kuit rank bezañ roet digant: -cheñchamantoù direizh pe mont e-barzh an dachenn direizh.	2. ar skarzhoù ur skarzh kuit rank bezañ roet digant: -cheñchamantoù direizh pe vont e-barzh an dachenn direizh.
276	2. gwerc'hez vari, esperans ar pec'her, pedit jezuz ho mab hag hon salver; grit d'hon spered intent komzou doue ha d'hon c'halon o mirout goude se.	2. gwerc'hez vari, esperans ar pec'her, pedit jezuz ho vab hag hon salver; grit d'hon spered intent komzou doue ha d'hon c'halon o mirout goude se.
362	497 • "darvoudenn an dañserezed" : dre ma'z eo rener qin chalet gant levezon konfusius e kas dañserezed da briñs lu ; en abeg dezho e lez hemañ aferioù ar stad hag ar bobl a-gostez, ar pezh a laka konfusius da zilezel e garg annping chin, op.	497 • "darvoudenn an dañserezed" : dre va'z eo rener qin chalet gant levezon konfusius e kas dañserezed da briñs lu ; en abeg dezho e lez hemañ aferioù ar stad hag ar bobl a-gostez, ar pezh a laka konfusius da zilezel e garg annping chin, op.
400	65 bloaz e oa pa voe lakaet war tron an impalaeriezh gant tud ar strollad ittihat ve terakki d'ar 27 a viz ebrel 1909.	65 bloaz e oa pa voe lakaet war dron an impalaeriezh gant tud ar strollad ittihat ve terakki d'ar 27 a viz ebrel 1909.
468	aarseth "euronymous" az eas da brenañ ur venveg fotoioù a kemer un nebeut re a-raok gervel ar polis.	aarseth "euronymous" az eas da brenañ ur venveg fotoioù a gemer un nebeut re a-raok gervel ar polis.
